"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46"
0 0 0 0 6 11 41 39 77 119 197 312 498 794 1121 1801 2697 4109 6208 9141 13086 18505 25452 33940 43606 53927 65229 76158 86589 95934 103545 110542 114219 115688 116476 115809 113911 111089 107831 102556 98929 94909 90635 86075 82149 78360
0 0 0 7 9 16 28 53 79 133 184 324 456 752 1118 1773 2714 4287 6301 9131 13086 18643 25329 34073 43482 54225 65395 76277 86904 95413 102997 110000 114573 117079 117179 115928 114065 111692 107068 103222 99072 94676 90638 86808 81849 78082
0 0 1 1 11 15 31 46 64 108 195 309 459 740 1141 1744 2732 4097 6305 8898 13327 18583 25381 33746 43253 53975 65261 75973 86226 95956 103923 110062 113525 116225 117045 116582 114434 111061 107172 103342 99368 95056 90522 86127 81488 78483
0 0 1 6 6 13 31 48 77 124 212 325 501 767 1164 1843 2746 4175 6142 9209 13083 18486 25322 33664 42959 53835 65213 76382 87319 95610 103760 109543 114366 116369 116832 116605 113800 111233 107661 103482 98406 94432 90059 86432 81600 78581
0 0 2 0 6 17 32 45 80 127 185 293 496 748 1134 1867 2789 4094 6198 9018 13063 18524 25194 33585 43013 53935 64870 76873 86291 95735 104074 110073 114326 116780 116630 116135 113878 111441 107755 103820 98653 94181 90236 86102 82255 78278
0 0 1 4 5 20 30 40 65 120 209 269 515 780 1122 1807 2781 4074 6008 9091 13104 18365 25286 33684 43369 54030 65028 75444 86331 95866 103837 109859 113588 115856 116590 116660 113888 111380 107282 103772 98578 94428 90307 86200 82141 78240
0 0 2 3 10 17 25 47 69 122 183 343 463 751 1189 1806 2754 4115 6131 9141 13129 18499 25086 33600 43468 53616 65164 75921 86775 96173 103853 109831 113704 116411 117375 116198 113523 111024 107067 103041 99042 94565 90325 85900 82007 78167
0 0 0 0 9 15 23 53 90 121 189 329 468 767 1133 1812 2594 4169 6215 9191 13333 18641 25225 33706 42828 53997 64950 76567 86972 95644 103836 109850 113970 116357 117504 116255 114068 111177 107245 103770 98774 94533 89911 85867 82170 78169
0 0 2 4 6 10 32 52 71 117 207 298 474 745 1185 1695 2722 4170 6170 9047 13161 18456 25074 33558 43250 53993 64980 76250 86260 96064 103978 109693 114158 116301 116762 116038 113279 110772 106989 103454 98770 95007 90540 85910 81568 78403
0 0 0 0 7 23 24 57 81 120 215 304 476 764 1211 1810 2831 4134 6139 9150 13090 18634 25245 33600 43170 53699 64834 76336 86466 95941 103461 110048 113897 116694 116679 116170 113891 111374 107811 103508 98942 94158 90475 85590 82226 78328
0 0 0 2 6 14 32 37 74 124 188 335 462 730 1121 1807 2759 4092 6407 9069 13279 18539 25410 33671 43061 53749 64798 75780 86264 96037 103766 110331 114013 116362 116922 116523 114310 111459 107677 103243 99162 94729 89952 85666 81863 78221
0 0 2 3 3 11 26 44 67 119 211 321 467 768 1169 1792 2719 4179 6168 8945 13308 18512 25289 33588 43296 53641 64944 76036 86634 96269 103545 110246 113507 116176 117342 116345 114182 110928 107178 103554 99017 94093 90625 86079 81736 78655
0 0 0 1 10 14 19 59 81 119 198 330 471 754 1167 1813 2580 4100 6092 9180 12994 18610 25566 33587 43492 54206 64799 76313 86321 95470 103532 110078 113973 116345 117161 116446 114265 111432 107373 102865 99188 94654 90569 86242 82397 78207
0 0 0 7 4 15 26 57 89 136 196 262 524 777 1166 1736 2733 4151 6199 9046 13306 18368 25477 33868 43220 54158 65352 75875 86067 95454 103373 109703 113655 116294 117230 115867 114165 110527 107239 103418 98865 94542 90180 85738 81970 78274
0 0 1 4 9 12 23 48 69 126 196 324 506 764 1169 1817 2719 4067 6101 9307 13029 18626 25449 33401 43220 54071 64793 76119 87091 95634 103685 109609 114281 115581 116684 115986 113941 111154 107407 103688 98623 94381 90464 86138 82126 78539
0 0 0 4 2 14 26 50 68 122 208 307 523 722 1170 1731 2832 4165 6189 9317 13037 18350 25270 33355 43155 53800 65222 75904 86038 95898 103820 109453 113695 116107 116861 115020 114662 110871 108100 104018 98395 94598 90940 86204 81814 77965
